__main__: 2024-11-18 17:07:16,056 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:16,310 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:16,310 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:16,547 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:16,547 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:16,769 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:16,769 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:17,018 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:17,018 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:17,245 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:17,245 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:07:17,475 | INFO | asktug.py:43 | 84360 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:07:17,475 | INFO | asktug.py:75 | 84360 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:10:53,145 | INFO | asktug.py:61 | 86250 >>> Start to get topics, category_id: 30022, page: 0
__main__: 2024-11-18 17:10:53,628 | DEBUG | asktug.py:41 | 86250 >>> Got topics, ids of topics: 2442
__main__: 2024-11-18 17:11:27,350 | INFO | asktug.py:60 | 86525 >>> Start to get topics, category_id: 30022, page: 0
__main__: 2024-11-18 17:11:27,847 | DEBUG | asktug.py:41 | 86525 >>> Got topics, ids of topics: 2442
__main__: 2024-11-18 17:11:27,847 | INFO | asktug.py:76 | 86525 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:11:28,222 | INFO | asktug.py:45 | 86525 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:11:28,223 | INFO | asktug.py:60 | 86525 >>> Start to get topics, category_id: 30055, page: 0
__main__: 2024-11-18 17:11:28,610 | DEBUG | asktug.py:41 | 86525 >>> Got topics, ids of topics: 153728
__main__: 2024-11-18 17:11:28,611 | INFO | asktug.py:76 | 86525 >>> Start to get accept answer, topic id: 153728
__main__: 2024-11-18 17:17:35,754 | INFO | asktug.py:64 | 89558 >>> Start to get topics, category_id: 30022, page: 0
__main__: 2024-11-18 17:17:40,810 | DEBUG | asktug.py:41 | 89558 >>> Got topics, ids of topics: 2442
__main__: 2024-11-18 17:17:40,810 | INFO | asktug.py:80 | 89558 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:17:43,057 | INFO | asktug.py:49 | 89558 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:17:43,057 | INFO | asktug.py:64 | 89558 >>> Start to get topics, category_id: 30055, page: 0
__main__: 2024-11-18 17:17:45,837 | DEBUG | asktug.py:41 | 89558 >>> Got topics, ids of topics: 153728
__main__: 2024-11-18 17:17:45,837 | INFO | asktug.py:80 | 89558 >>> Start to get accept answer, topic id: 153728
__main__: 2024-11-18 17:18:17,567 | INFO | asktug.py:63 | 89937 >>> Start to get topics, category_id: 30022, page: 0
__main__: 2024-11-18 17:18:20,377 | DEBUG | asktug.py:41 | 89937 >>> Got topics, ids of topics: 2442
__main__: 2024-11-18 17:18:20,377 | INFO | asktug.py:79 | 89937 >>> Start to get accept answer, topic id: 2442
__main__: 2024-11-18 17:18:22,612 | INFO | asktug.py:48 | 89937 >>> Got accept answer of topic: 2442, post: 10297
__main__: 2024-11-18 17:18:22,612 | INFO | asktug.py:63 | 89937 >>> Start to get topics, category_id: 30055, page: 0
__main__: 2024-11-18 17:18:28,259 | DEBUG | asktug.py:41 | 89937 >>> Got topics, ids of topics: 153728
__main__: 2024-11-18 17:18:28,261 | INFO | asktug.py:79 | 89937 >>> Start to get accept answer, topic id: 153728
__main__: 2024-11-18 17:18:30,659 | INFO | asktug.py:63 | 89937 >>> Start to get topics, category_id: 150022, page: 0
